mttf,mttr,arrival_rate,service_rate,num_nodes,failure_type,failure_type_enc,best_policy,best_throughput,best_wait_p95,best_dropped
61.425604041019696,5.160222066607754,4.317947603676165,2.467398570760219,4,degrade,1,freeze,4.296,1.8673801565055244,0.0
38.77134726543985,9.687692893194622,4.017579901750608,1.2926610976852075,4,degrade,1,freeze,3.802666666666666,32.55543239853692,2.8
64.20152587416632,29.060577328109524,2.21679579658963,1.7499592354879279,4,degrade,1,freeze,2.1620000000000004,6.601183094695756,0.0
25.950406642719294,14.70166829461298,2.188686495364914,2.0888212956636654,3,down,0,drop_queue,2.0700000000000003,4.0296077068759715,26.0
45.558253752217084,26.838065778018304,3.4169010102500343,2.3689329004613287,2,degrade,1,freeze,3.034,35.84515199333855,63.8
92.37915641005893,8.185075226222658,2.220688715991896,1.105489380353827,2,degrade,1,freeze,1.9746666666666666,34.12170485127984,7.6
67.0662981412699,17.414292344971326,2.490630248589441,2.0106001565909106,3,down,0,drop_queue,2.3606666666666665,2.468319813098441,16.0
73.97918769393505,16.50888322168312,3.5224095816335814,2.184498598689806,2,down,0,drop_queue,3.16,13.012992382713762,25.4
62.08826529911523,9.930873682396713,4.424410255440705,1.7332690541938898,4,degrade,1,freeze,4.460666666666667,11.807011306864814,0.0
26.464899220814686,29.07547850310668,4.402751109825827,1.7218907448629028,5,degrade,1,freeze,4.250666666666667,31.988542687469796,2.8
64.25640147170047,21.378026599784505,4.741072288122167,1.0979056246169372,4,degrade,1,freeze,3.6699999999999995,59.725999687101954,109.0
44.36333019696149,13.138640402517611,4.982080313629953,2.171785753114567,2,down,0,drop_queue,3.230666666666667,21.27197511952315,223.6
48.03655567823031,26.9382226467949,2.2604446166446825,2.062628135370799,3,degrade,1,freeze,2.2186666666666666,14.114917524751206,0.0
81.92767417445033,13.057168118495795,4.389917548238164,1.3379926628134977,3,down,0,drop_queue,3.4013333333333335,35.47269888848204,51.4
47.57033009839419,18.535249590754113,2.3378409966216713,1.6104217009589592,2,down,0,drop_queue,1.9626666666666666,14.202928340202652,47.4
76.99426537126591,26.296897805856425,2.4167950373605924,2.0556786539001966,3,degrade,1,freeze,2.4506666666666663,14.047401265058117,0.0
98.36454905846144,26.094764059218168,3.2723194563320384,2.4695330627644845,4,degrade,1,freeze,3.2053333333333334,4.028947335606468,0.0
55.33092812805211,23.83616346459763,4.741513003019488,1.7142206079531297,2,degrade,1,freeze,2.736666666666667,66.32752657934644,513.2
